domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class
anxiety,psychologist_2_3,final_honest_improvement_v1,rf,engineered_pruned,none,balanced,0.3799999999999999,0.8247422680412371,0.9302325581395348,0.9568527918781726,0.9435426750088538,0.8743169398907104,0.9918840750796836,0.966312961726849,0.0276760963771888,aceptable,0.03234564986424271,PRIMARY_WITH_CAVEAT
anxiety,psychologist_full,final_honest_improvement_v1,rf,engineered_pruned,none,balanced,0.3799999999999999,0.8421052631578947,0.9302325581395348,0.9619289340101524,0.9460807460748436,0.8839779005524862,0.9919135875339392,0.9591820433560584,0.026434653046354,bueno,0.03149962617557944,PRIMARY_WITH_CAVEAT
conduct,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.59,0.9019607843137256,0.8625,0.953125,0.9078125,0.8817891373801917,0.97841796875,0.9500801871541836,0.0563854385479201,bueno,0.061748899581251626,PRIMARY_WITH_CAVEAT
conduct,caregiver_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,none,precision_min_recall,0.6849999999999999,0.9280575539568344,0.80625,0.96875,0.8875,0.862876254180602,0.975859375,0.9476529887411712,0.0598134006093339,bueno,0.08803168607624934,REJECT_AS_PRIMARY
conduct,caregiver_full,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,none,balanced,0.4449999999999999,0.8076923076923077,0.91875,0.890625,0.9046875,0.8596491228070176,0.9746875,0.9499594639068576,0.0622859399714159,aceptable,0.06474943250706211,PRIMARY_WITH_CAVEAT
conduct,psychologist_1_3,rebuild_v2,rf,compact_subset,sigmoid,recall_constrained,0.6449999999999999,0.9090909090909092,0.8125,0.959375,0.8859375,0.858085808580858,0.97728515625,0.9542627941351364,0.0585440516294588,aceptable,0.06916716655543842,PRIMARY_WITH_CAVEAT
conduct,psychologist_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,isotonic,balanced,0.3799999999999999,0.8846153846153846,0.8625,0.94375,0.903125,0.8734177215189873,0.9715234375,0.9324443838258124,0.0598157660888244,bueno,0.022282189423243892,ROBUST_PRIMARY
conduct,psychologist_full,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,isotonic,balanced,0.3349999999999999,0.8439306358381503,0.9125,0.915625,0.9140625,0.8768768768768769,0.975634765625,0.9413294156917726,0.0601968414247834,aceptable,0.028574739290080697,PRIMARY_WITH_CAVEAT
depression,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.5299999999999999,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,malo,0.06201350299673847,HOLD_FOR_LIMITATION
depression,caregiver_2_3,hybrid_final_decisive_rescue_v5,rf,precision_oriented_subset,none,balanced,0.43999999999999995,0.7789473684210526,0.9024390243902439,0.9472361809045227,0.9248376026473832,0.8361581920903954,0.9791334722392451,0.9185052705693368,0.04398048897286791,malo,0.025897374474397106,HOLD_FOR_LIMITATION
depression,caregiver_full,boosted_v3,catboost,full_eligible,none,default_0_5,0.5,0.8409090909090909,0.9487179487179488,0.965174129353234,0.9569460390355912,0.891566265060241,0.9909108304630694,0.9434742112852106,0.0293666393254193,bueno,0.07372226988601538,PRIMARY_WITH_CAVEAT
depression,psychologist_1_3,rebuild_v2,rf,stability_pruned_subset,isotonic,default_0_5,0.5,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,malo,0.029197626052499426,HOLD_FOR_LIMITATION
depression,psychologist_2_3,final_honest_improvement_v1,rf,compact_subset,none,balanced,0.3949999999999999,0.7872340425531915,0.902439024390244,0.949748743718593,0.9260938840544184,0.8409090909090909,0.9794092413285942,0.8675121016971403,0.0429005294006906,aceptable,0.020587502262819246,PRIMARY_WITH_CAVEAT
depression,psychologist_full,boosted_v3,hgb,full_eligible,sigmoid,balanced,0.4199999999999999,0.8690476190476191,0.935897435897436,0.972636815920398,0.9542671259089168,0.9012345679012346,0.9923140706722796,0.9533076719585644,0.0253330721238639,bueno,0.06869714425787476,PRIMARY_WITH_CAVEAT
elimination,caregiver_1_3,boosted_v3,extra_trees,boosted_eng_full,none,balanced,0.4399999999999999,0.8679245283018868,0.9019607843137256,0.9836829836829836,0.9428218839983546,0.8846153846153846,0.9967777320718496,0.9700376570280697,0.0204136197916666,bueno,0.04975558551779502,PRIMARY_WITH_CAVEAT
elimination,caregiver_2_3,final_honest_improvement_v1,rf,engineered_compact,none,balanced,0.2799999999999999,0.9454545454545454,1.0,0.9929906542056076,0.9964953271028038,0.97196261682243,0.9975512221423436,0.941642680399478,0.0061910966351909,bueno,0.0007809374886359466,PRIMARY_WITH_CAVEAT
elimination,caregiver_full,final_honest_improvement_v1,rf,engineered_compact,none,balanced,0.3249999999999999,0.9454545454545454,1.0,0.9929906542056076,0.9964953271028038,0.97196261682243,0.9974838245866284,0.9433519475427756,0.0064319027372157,bueno,-0.0003872868104295435,PRIMARY_WITH_CAVEAT
elimination,psychologist_1_3,boosted_v3,extra_trees,boosted_eng_full,none,balanced,0.4299999999999999,0.9019607843137256,0.9019607843137256,0.9883449883449884,0.9451528863293568,0.9019607843137256,0.9965720553955848,0.9724347146967124,0.0210442838541666,muy_bueno,0.07171190840506092,PRIMARY_WITH_CAVEAT
elimination,psychologist_2_3,final_honest_improvement_v1,rf,engineered_pruned,none,balanced,0.2799999999999999,0.9454545454545454,1.0,0.9929906542056076,0.9964953271028038,0.97196261682243,0.99784327821711,0.966688236695034,0.006443594932588,bueno,-0.0003872868104295435,PRIMARY_WITH_CAVEAT
elimination,psychologist_full,final_honest_improvement_v1,rf,engineered_compact,none,balanced,0.295,0.9454545454545454,1.0,0.9929906542056076,0.9964953271028038,0.97196261682243,0.9990564342199856,0.9917564458695416,0.0062844913150767,bueno,0.001170042547001704,PRIMARY_WITH_CAVEAT
