domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
anxiety,psychologist_2_3,final_honest_improvement_v1,logreg,engineered_pruned_no_eng_v1,none,balanced,0.7899999999999999,0.891566265060241,0.8604651162790697,0.9771573604060914,0.9188112383425806,0.8757396449704142,0.9794593318380356,0.931394926615426,0.0520635509085647,aceptable,0.0314996261755794,PRIMARY_WITH_CAVEAT,logreg_balanced_v3,60.0,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,secondary metric anomaly; mode fragility,yes,psychologist,no,no,no,no,0.9794593318380356,none,not_required,no,no,yes,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.919,f1=0.876,p=0.892,r=0.860,brier=0.052]; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,psychologist_full,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_full,none,f1_recall_structural_target_band,0.5,0.8222222222222222,0.8604651162790697,0.9593908629441624,0.909927989611616,0.8409090909090909,0.9744127021603116,0.8859771705054296,0.1061830434387351,bueno,0.0323456498642427,HOLD_FOR_LIMITATION,hgb_guard_mid_v1,151.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,psychologist,no,no,no,no,0.9744127021603116,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.910,f1=0.841,p=0.822,r=0.860,brier=0.106]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
conduct,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.59,0.9019607843137256,0.8625,0.953125,0.9078125,0.8817891373801917,0.97841796875,0.9500801871541836,0.0563854385479201,bueno,0.0654203453329917,PRIMARY_WITH_CAVEAT,,,caregiver,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,mode fragility; calibration concern,yes,guardian,no,no,no,no,0.97841796875,none,not_required,yes,no,yes,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.908,f1=0.882,p=0.902,r=0.863,brier=0.056]; mode_fragility_flag; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,caregiver_2_3,hybrid_structural_mode_rescue_v1,logreg,registry_stability_pruned_subset,none,f1_recall_structural_target_band,0.55,0.8426966292134831,0.9375,0.9125,0.925,0.8875739644970414,0.97568359375,0.950366891995128,0.0790929039136678,bueno,0.0895893184750032,REJECT_AS_PRIMARY,logreg_guard_strong_v1,49.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,guardian,no,no,no,no,0.97568359375,none,not_required,yes,yes,yes,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.925,f1=0.888,p=0.843,r=0.938,brier=0.079]; mode_fragility_flag; shortcut_risk_flag; calibration_concern_flag; class=REJECT_AS_PRIMARY",unchanged
conduct,caregiver_full,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,none,balanced,0.4449999999999999,0.8076923076923077,0.91875,0.890625,0.9046875,0.8596491228070176,0.9746875,0.9499594639068576,0.0622859399714159,aceptable,-0.002604698506553,PRIMARY_WITH_CAVEAT,rf_regularized_v1,47.0,caregiver,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,secondary metric anomaly; mode fragility,yes,guardian,no,no,no,no,0.9746875,none,not_required,no,no,yes,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.905,f1=0.860,p=0.808,r=0.919,brier=0.062]; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,psychologist_1_3,rebuild_v2,rf,compact_subset,sigmoid,recall_constrained,0.6449999999999999,0.9090909090909092,0.8125,0.959375,0.8859375,0.858085808580858,0.97728515625,0.9542627941351364,0.0585440516294588,aceptable,0.0665428038305515,PRIMARY_WITH_CAVEAT,,,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,mode fragility,yes,psychologist,no,no,no,no,0.97728515625,none,not_required,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.886,f1=0.858,p=0.909,r=0.812,brier=0.059]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,psychologist_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,isotonic,balanced,0.3799999999999999,0.8846153846153846,0.8625,0.94375,0.903125,0.8734177215189873,0.9715234375,0.9324443838258124,0.0598157660888244,bueno,0.0353743996832196,ROBUST_PRIMARY,,,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,88.3,high,none,yes,psychologist,no,no,no,no,0.9715234375,none,not_required,no,no,no,ROBUST_PRIMARY,ROBUST_PRIMARY,passes_robust_gate_without_blockers,"metrics[ba=0.903,f1=0.873,p=0.885,r=0.863,brier=0.060]; class=ROBUST_PRIMARY",unchanged
conduct,psychologist_full,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,isotonic,balanced,0.3349999999999999,0.8439306358381503,0.9125,0.915625,0.9140625,0.8768768768768769,0.975634765625,0.9413294156917726,0.0601968414247834,aceptable,-0.0041655725960432,PRIMARY_WITH_CAVEAT,rf_balanced_subsample_v1,56.0,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,secondary metric anomaly,yes,psychologist,no,no,no,no,0.975634765625,none,not_required,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.914,f1=0.877,p=0.844,r=0.912,brier=0.060]; class=PRIMARY_WITH_CAVEAT",unchanged
depression,caregiver_1_3,hybrid_structural_mode_rescue_v1,rf,structural_ranked_1_3,none,f1_recall_structural_target_band,0.59,0.7956989247311828,0.902439024390244,0.9522613065326632,0.9273501654614535,0.8457142857142858,0.9798994974874372,0.91517180652367,0.0501742162589722,malo,0.0620135029967384,HOLD_FOR_LIMITATION,rf_structural_regularized_v1,42.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,guardian,no,no,no,no,0.9798994974874372,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.927,f1=0.846,p=0.796,r=0.902,brier=0.050]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,caregiver_2_3,hybrid_structural_mode_rescue_v1,extra_trees,structural_compact_2_3,none,f1_recall_structural_target_band,0.61,0.7978723404255319,0.9146341463414634,0.9522613065326632,0.9334477264370632,0.8522727272727273,0.9797156514278712,0.9079978667723728,0.0584251216087021,malo,0.0295357090816352,HOLD_FOR_LIMITATION,extra_trees_structural_regularized_v1,69.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence; stress sensitivity,no,guardian,no,no,no,no,0.9797156514278712,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.933,f1=0.852,p=0.798,r=0.915,brier=0.058]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,caregiver_full,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,no_shortcut_v1,none,f1_recall_target_band,0.4020000000000001,0.7710843373493976,0.7804878048780488,0.9522613065326632,0.866374555705356,0.7757575757575758,0.9722086039955876,0.8577614162582414,0.0522703689418287,bueno,0.0585190019107159,HOLD_FOR_LIMITATION,hgb_quick_guard_v1,125.0,caregiver,ACTIVE_LIMITED_USE,no,no,no,59.0,limited,limited operational confidence,no,guardian,yes,no,no,no,0.9722086039955876,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.866,f1=0.776,p=0.771,r=0.780,brier=0.052]; generalization_risk_flag; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_1_3,hybrid_structural_mode_rescue_v1,rf,structural_compact_1_3,none,f1_recall_structural_target_band,0.6599999999999999,0.8271604938271605,0.8170731707317073,0.964824120603015,0.8909486456673612,0.8220858895705522,0.9795011643583772,0.91064630326594,0.0493639359464313,malo,0.0425164172338623,HOLD_FOR_LIMITATION,rf_structural_regularized_v1,41.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence; stress sensitivity,no,psychologist,no,no,no,no,0.9795011643583772,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.891,f1=0.822,p=0.827,r=0.817,brier=0.049]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_2_3,hybrid_structural_mode_rescue_v1,extra_trees,structural_compact_2_3,none,f1_recall_structural_target_band,0.6,0.7835051546391752,0.926829268292683,0.9472361809045228,0.9370327245986028,0.8491620111731844,0.9798688564775094,0.9104946822140751,0.0576198375850678,aceptable,0.0283597546873053,HOLD_FOR_LIMITATION,extra_trees_structural_regularized_v1,83.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence; stress sensitivity,no,psychologist,no,no,no,no,0.9798688564775094,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.937,f1=0.849,p=0.784,r=0.927,brier=0.058]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_full,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,no_shortcut_v1,none,f1_recall_target_band,0.388,0.7831325301204819,0.7926829268292683,0.9547738693467336,0.8737283980880011,0.7878787878787878,0.9750275769089348,0.8740526749277387,0.0494030151469596,bueno,0.0747947052334845,PRIMARY_WITH_CAVEAT,hgb_quick_guard_v1,150.0,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,81.6,moderate,secondary metric anomaly; mode fragility,yes,psychologist,no,no,no,no,0.9750275769089348,none,not_required,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.874,f1=0.788,p=0.783,r=0.793,brier=0.049]; class=PRIMARY_WITH_CAVEAT",unchanged
elimination,caregiver_1_3,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_1_3,none,f1_recall_structural_target_band,0.39,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.939409597411934,0.8859817813765182,0.0548420030222181,bueno,0.0405293059607761,REJECT_AS_PRIMARY,hgb_ultra_conservative_v1,42.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,guardian,no,no,no,no,0.9742990654205608,none,not_required,yes,yes,yes,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.929,f1=0.844,p=0.807,r=0.885,brier=0.055]; mode_fragility_flag; shortcut_risk_flag; calibration_concern_flag; class=REJECT_AS_PRIMARY",unchanged
elimination,caregiver_2_3,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_2_3,none,f1_recall_structural_target_band,0.37,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.939409597411934,0.8859817813765182,0.0514399284055689,bueno,0.0007809374886359,REJECT_AS_PRIMARY,hgb_ultra_conservative_v1,84.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,guardian,no,no,no,no,0.9742990654205608,none,not_required,yes,yes,yes,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.929,f1=0.844,p=0.807,r=0.885,brier=0.051]; mode_fragility_flag; shortcut_risk_flag; calibration_concern_flag; class=REJECT_AS_PRIMARY",unchanged
elimination,caregiver_full,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_full,none,f1_recall_structural_target_band,0.37,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.939409597411934,0.8859817813765182,0.0514399284055689,bueno,-0.0003872868104295,REJECT_AS_PRIMARY,hgb_ultra_conservative_v1,126.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,guardian,no,no,no,no,0.9742990654205608,none,not_required,yes,yes,yes,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.929,f1=0.844,p=0.807,r=0.885,brier=0.051]; mode_fragility_flag; shortcut_risk_flag; calibration_concern_flag; class=REJECT_AS_PRIMARY",unchanged
elimination,psychologist_1_3,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_1_3,none,f1_recall_structural_target_band,0.39,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.939409597411934,0.8859817813765182,0.0548420030222181,muy_bueno,0.0740483570031917,REJECT_AS_PRIMARY,hgb_ultra_conservative_v1,50.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,psychologist,no,no,no,no,0.9742990654205608,none,not_required,yes,yes,yes,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.929,f1=0.844,p=0.807,r=0.885,brier=0.055]; mode_fragility_flag; shortcut_risk_flag; calibration_concern_flag; class=REJECT_AS_PRIMARY",unchanged
elimination,psychologist_2_3,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_2_3,none,f1_recall_structural_target_band,0.37,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.939409597411934,0.8859817813765182,0.0514399284055689,bueno,-0.0003872868104295,REJECT_AS_PRIMARY,hgb_ultra_conservative_v1,101.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,psychologist,no,no,no,no,0.9742990654205608,none,not_required,yes,yes,yes,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.929,f1=0.844,p=0.807,r=0.885,brier=0.051]; mode_fragility_flag; shortcut_risk_flag; calibration_concern_flag; class=REJECT_AS_PRIMARY",unchanged
elimination,psychologist_full,hybrid_structural_mode_rescue_v1,hgb,structural_ranked_full,none,f1_recall_structural_target_band,0.37,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.939409597411934,0.8859817813765182,0.0514399284055689,bueno,1.81824793621388e-06,REJECT_AS_PRIMARY,hgb_ultra_conservative_v1,151.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,59.0,limited,limited operational confidence,no,psychologist,no,no,no,no,0.9742990654205608,none,not_required,yes,yes,yes,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.929,f1=0.844,p=0.807,r=0.885,brier=0.051]; mode_fragility_flag; shortcut_risk_flag; calibration_concern_flag; class=REJECT_AS_PRIMARY",unchanged
